Dagaare,English
nɛle,to fill completely
nɛll,long and unwieldy
nɛmbeene,cooked meat
nɛmbɛlɛŋ,long and crooked
nɛmbiri,boneless meat
nɛmmaaroŋ,fresh meat
nɛmpoɔnaa,rotten meat
nɛne,meat  
nɛne,flesh
nɛnefɛne,to try to get attention
nɛnɛ,precisely
nɛnzeɛ,lean meat
nɛŋɛɛ,saggy
nɛŋɛɛ,saggy
nɛŋkãa,fatty meat
nɛŋkaraa,raw meat
nɛŋkoorɔ,butcher
nɛŋkuoŋaa,smoked meat
nɛŋŋmaara,butcher
nɛre,to be buried underneath e.g. in the soil
nibiri,emotion
nii,eight
nimibaaloŋ,kindness
nimibaare,bloodshot
nimibiri,pupil  of eye 
nimibuli,eye with a cataract
nimifaa,evil eye
nimifaa,wrong side  of fabric 
nimifuri,to be wide eyed 
nimifuri, to show wit
nimigane,eyelid
nimigbaŋkɔɔloŋ,eyebrow
nimigbɛlɛɛ,the state of being considerate
nimigboŋkogiri,brow
nimikaare,eyeball
nimiko,act of doing wicked things
nimikõɔ,watery eyes 
nimikõɔ, tears
nimikɔɔloŋ,eyelash
nimikuoŋaa,wickedness
nimikyaane,eye-glasses
nimilaa,eye socket
nimimaaroŋ,kindness
niminyɛrɛ,visionary
nimipẽɛ,the act of claiming to be wise
nimipeɛnɛ,one who claims to be wise
nimipẽɛ̃,the act of showing oneself to be wiser than others
nimipoŋi,puss-like fluid on the surface of the eyeball
nimipɔge,the act of blindfolding or confusing others
nimipuuri,puss-like fluid on the surface of the eyeball
nimiri,eye  
nimiri, stinginess 
nimiri, avarice
nimiri,success
nimiri-soba,miser  
nimiri-soba, one who covets
nimisogɔ,face
nimisogɔ,in front of
nimisoɔ,dizziness
nimitiiruŋ,wickedness
nimitoloŋ,haste
nimitɔɔre,ahead
nimiyuo,an action that creates the impression that one is more intelligent than another
nimiyuoro,well-informed person
nimizeɛ,seriousness
niŋe,face
niŋe,in front of
nirii,a type of creeping plant with edible seeds
no,to grind a object by rubbing it against a surface
nomɔ,sweet
no,to grind a object by rubbing it against a surface
nomɔ,sweet
nomɔ,happiness
noɔ,fowl
noɔ,to grow fat or large
noɔ,sweet
noɔ-noɔre,the habit of always eating
noɔre,mouth  
noɔre,  beak
noɔre,edge
noɔre,exact quantity
noɔre,statement
noɔre,the habit of talking a lot
nore,to bend inward
nɔdaa,rooster
nɔdaakommiruu,a type of caterpillar
nɔdakpoŋ,capon
nɔdalee,cockerel
nɔdo,food
nɔdɔɔne,that which is too little to satisfy  food 
nɔ-ennaa,vow
nɔfaa,rudeness  foul mouth
nɔfolee,inability to keep a secret
nɔfõɔo,quick at talking
nɔgeraa,sojourner
nɔgõo,moustache
nɔgoolɔ,moustache
nɔgɔɔ,one-winged fowl
nɔgbɛmbebe,curse
nɔgbɛne,lip
nɔhaaroŋ,troublesomeness
nɔkɔnnoɔ,sweet talk
nɔkɔɔloŋ,feathers of fowl
nɔkɔrema,a type of fowl with feathers like those of a partridge
nɔkpage,gluttonism
nɔkpankyoɔne,a type of fowl with ash-coloured feathers
nɔkpeɛne,argument
nɔkpogi,gluttonism
nɔlaŋ,unity  agreement
nɔlee,chick
nɔlibie,a type of fowl with spotted feathers
nɔll,oval and large
nɔll,oval and small
nɔluuri,the act of renouncing an oath
nɔmaa,surprise
nɔmelime,sweets
nɔmelime,craving for sweet things
nɔmm,at rest  without movement
nɔmmo,love  strong affection or likeness for
nɔmoɔnaa,lips decorated with red lipstick
nɔmuri,a small
nɔmuu,dumbness
nɔnɛne,chicken  meat 
nɔnne,love
nɔnne boore,the act of taking sides
nɔnoɔ,convincing talk  sweet mouth
nɔnɔ,lover
nɔnɔmaa,a type of tree with medicinal properties and edible fruits
nɔnyaŋaa,adult female hen  one that has hatched chicks 
nɔnyeɛraa,laying fowl
nɔnyemɛ,disturbing sharp utterance e.g. barking puppy
nɔŋe,to massage  to make soft by applying substances and wringing out  to like
nɔɔ,very one
nɔɔfeele,a hard
nɔɔganaa,big vein running from the heel to the calf
nɔɔkyoone,ankle
nɔɔpelaa,abscess on the sole of the foot
nɔɔsaŋkpaare,heel  hind toe of a bird
nɔɔtemiri,shoelaces
nɔɔtere,footwear  boil
nɔpollaa,vow
nɔpɔllee,young fowl
nɔre,to be lucky
nɔsare,a hen trough
nɔsɛre,drinking water container for fowl
nɔtɛɛtɛɛ,incompatible statements  usually made by the same person
nɔtɛnzuŋi,pursed lips  protruding lips to show anger
nɔtore,the act of pressing the lips together  sign of annoyance 
nɔtoro,moustache
nɔtuo,abusiveness  rudeness of language
nɔtuo,hungering
nɔ-uunaa,brooding fowl
nɔvelaa,encouraging talk
nɔwogi,dog
nɔwɔɔ,abrassiveness
nɔyaaroŋ,causing trouble
nɔyoɔre,pestering e.g. a little child
nɔzage,pen for hens
nɔzagere,disobedience
nɔzeɛ,red mouth
nɔzoolɔ,fringe
nɔzɔbɔ,the act of pestering someone to annoy that person
nsɛ,Mr  great one
nu,hand
nubaŋa,bangle for the wrist
nubidaa,thumb
nubidori,finger joint  knuckle
nubi-eɛne,fingernail
nubilee,smallest finger
nubiri,finger
nudɛgere,dirty hand
nudoloŋ,right hand  to the right  direction 
nufoori,closed empty hand
nufõɔo,ability to act fast with the hand
nugɔɔ,left hand
nugɔɔ,towards the left direction
nugunno,very poor
nukuni,fist
nukuoŋaa,dry hand
nukpara,both hands put together
nulaama,idle hands
nulaayɛlɛ,work of idle hands
nuperaa,finger snap
nupoɔ,palm  of hand 
nupuori,back of the hand
nusampane,palm  of hand 
nusugili,wrist
nutaa,wealthiness
nutale,palm  of hand 
nutara,wealthy person
nutẽɛ,the act of giving
nuu,five
nuulee,bird
nuuleemakõɔ,a type of small creeping plant
nuuleemakõɔkõɔ,a type of plant with medicinal properties
nuulikɔɔloŋ,feather
nuulikyoo,bird nest
nuuliparezoore,pintailed bird
nuulitige,flock  of birds  – singular or plural agreement
nuwogi,lightfingeredness  thief
nuyoɔre,something that causes boredom
nu-yuo,generosity
nuzagele-pie,empty handedness
nuzɛgere,handshake
nyaa,chest
nyaa,to break e.g. light of day  to recover oneself  to come round  to awaken
nyaa,wise
nyaaba,disgrace
nyaalbini,a disease that causes itchy rashes
nyaalbiri,guinea worm  the worm 
nyaale,to move fire closely over a surface or move an object closely over fire
nyaalenyieli,to walk with buttocks thrust backward and legs apart  because of sores on the buttocks or groin 
nyaalombiri,guinea worm  the worm 
nyaalompoɔ,undeveloped or dormant guinea-worm disease
nyaaloŋ,guinea worm disease
nyaanaa,craft
nyaane,wit  wisdom
nyaanema,cat
nyaanoo,at once
nyaanyieli,to walk with legs apart  usually because of sores on the buttocks 
nyaanyoo,dim  light  weight 
nyaaraa,rake  fork  bean soup
nyabipeɛ,ribcage
nyabiri,rib  a disease that causes a cramp in the chest
nyage,to become very angry
nyagele,to be entangled in spiky material  thorns 
nyagele,to draw arms in a bid to fight  typically used with kpaŋkpama 
nyagere,   bowel 
nyagere, tree root
nyagere,   bite suddenly and sharply  dog bite  
nyagere,    get stimulated
nyageroŋ,   quickly 
nyageroŋ, intelligently
nyagesaga,jumbled
nyakpuli,sternum
nyale,suddenly
nyalle,to eat with very little sauce
nyam,to take heart
nyama,gripping suddenly
nyamaa,mixed up
nyamama,rising in intensity  pain 
nyambaraŋ,itchy
nyaŋ,to age
nyaŋe,hasty
nyaŋema,accident
nyaŋgalaŋ,thick and stiff
nyaraa-nyaraa,with small pointed appendages e.g. crab
nyaranyara,rough
nyarata,swiftly e.g. movement of lizard
nyaremaŋ,hot e.g. food
nyarewara,grainy
nyaroo,small and lean
nyawele,one that is the greatest
nyeɛ,snot
nyeɛne,   bulb
nyeɛre,to test
nyeɛre,to pay for the cost of herbs after treatment
nyegenyege,restlessness
nyegenyege,restless
nyegere,to be scarce
nyegere,to massage with a hot
nyegere,   to flash e.g. lightening  
nyegere,  give way momentarily  limb as a result of sharp twist 
nyegɛnyegɛ,very sharp and shiny e.g. blade
nyelaa,not hidden
nyelele,slightly
nyelennyeleŋ,bare and shiny e.g. razor shaved head
nyelɔɔ,tiny
nyembini,matter  dirt  in between the teeth
nyembulo,adult
nyempara,unchiselled teeth
nyempɛge dalee,tooth stick
nyene,   tooth
nyeŋgoŋe,the state of grimacing  typically used with vere 
nyeŋkaane,molar
nyeraa,ant
nyeraa,not hidden  clearly visible
nyere,to bare one’s teeth  to laugh  scornfully 
nyerebaa,a type of ant with a painful sting
nyeregaŋguu,a type of ant
nyeregbere,mixed
nyerekɔɔloŋ,a type of ant that flies
nyerenyaga,uncovered
nyeresaare,a type of small slim dark brown ant  usually in a swarm and on trees
nyeresalensaare,a type of tiny ant that lives together in large numbers
nyeresɔgelaa,a type of small black ant
nyɛ,   to see 
nyɛ,  to find  
nyɛ,   to get
nyɛ,   to defecate  
nyɛ,  pass substance through the anus  lay eggs 
nyɛ,to produce tubers or nuts e.g. yam
nyɛ,   to drain a pond of its water  usually to enable people catch the fish in the pond  
nyɛ,  to drill or scoop matter out to make a hole
nyɛdanaao,a type of tiny brown bird that moves in large groups that lay eggs together
nyɛgɛkɛ,warmish
nyɛle,to melt
nyɛlle,to shine
nyɛlle,to covet
nyɛlmaanyu,a type of small plant with a strong smell and medicinal properties
nyɛlugiri,support stick for a yam plant
nyɛnnoŋ,salt
Nyɛntɔge,a meteorite revered to be a fetish in the Sisaalaland
nyɛraa,seer
nyɛre,to miss  a target 
nyɛre,to be fierce
nyɛtaa,confer
nyieli,to tempt  to show something to someone but refuse to give it to him her
nyigiri,to close both eyes tightly and simultaneously towards someone  insulting gesture 
nyigiri,to steal
nyiile,guinea worm disease
nyiili,to touch gently
nyiili,to incense
nyiili,to shudder
nyiili,to swell  breast 
nyiiri,to bare teeth  used with nyemɛ 
nyimenyime,tasteful
nyobogdaa,bridge of nose
nyoge,to show off
nyoge,to become sour or bad e.g. sauce
nyoge,punish severely
nyoge,concoction believed to be powerful
nyoge,filth
nyoge-kaa-kpɛre,show off that ends badly
nyogele,to dress well
nyogele,to be congested
nyogere,pride
nyoll,heavy
nyoll,small and light
nyonne,to dry up
nyonne,   to sniff 
nyonne,    to search  to delve into  
nyonne,   to test  to examine
nyonono,   sympathy
nyonsomm,biggish
nyonyonne,nausea
nyonyonne,dirt
nyoŋgoloŋ,mixed up e.g. heap of things
nyoŋgoloŋ,thick and stiff e.g. paste
nyoore,smoke
nyoore,pride
nyoore,   to make hard 
nyoore,to dry up
nyoore,to test the capability of e.g. a tool or a person
nyoɔ,to fire
nyoɔle,to begin rising
nyoɔle,to close partially e.g. of eyes in strong light
nyoɔnaa,oven
nyoɔre,nose
nyoɔre,life
nyoɔre,tip of e.g. stick
nyore,to shrivel
nyore,to take courage
nyoremaŋ,bushy
nyɔbaare,disease of the nose
nyɔbogiri,   nostril 
nyɔbogiri, nose
nyɔfeerɛ,cold  illness 
nyɔfuli,dried snot
nyɔge,   to hold 
nyɔge,  to catch
nyɔge,to farm
nyɔge noɔre,to be surprised
nyɔge,to infect
nyɔgetaa,unity
nyɔgezie,handle
nyɔɔ,to have sexual intercourse  human 
nyɔpolema,summit
nyɔre,to despise
nyɔtage,sniveling
nyɔvore,life
nyu,to smell  scent 
nyu,   to drink  
nyu,  to suck  of a mosquito 
nyu,to smoke  pipe 
nyubuli,yam sprout
nyudɛre,large yam tuber
nyumoɔ,field prepared to make yam mounds
nyunni,   to smell  
nyunni, to sniff e.g. dog
nyuo,   navel 
nyuo,  short form of wɛnyuo  leopard 
nyusege,yam barn
nyuu,   neck 
nyuu,  smell
nyuu,a sensation
nyuu,stinky
nyuuli,to empower supernaturally
nyu-uo,yam barn
nyuuri,envy
nyuuri,yam
nyuzɛle,umbilical cord
ŋma,to conquer
ŋmaa,to cut 
ŋmaa,   to cross  river   
 A mane paalɛɛ la ka ba maŋ de gbori ŋmaa ne., The river is flooded and they are using a boat to cross it.  
 ŋmaa, to go across to meet   
 Polisiri ŋmaa la a sori nyɔgere a nannyigiri., The police crossed the road and arrested the thieves.
ŋmaa,to prevent
ŋmaa,short   
O serɛ la a dɔɔ ŋmaa na., That short man is her husband.
ŋmaa bare,to exclude  to put aside
ŋmaabini,a type of plant
ŋmaadaa,mature big male monkey
ŋmaadasaa,a huge monkey
ŋmaakalaa,small but smart type of monkey
ŋmaakyeraa,   a type of tree with medicinal properties 
ŋmaakyeraa,   a type of small monkey
ŋmaaŋa,monkey
ŋmaapare,name of a popular market in Teza
ŋmaaraa,an evil spirit with powers of witchcraft
ŋmaa seɛ,to conceive
ŋmaasugo,band of monkeys
ŋmaataŋaa,a type of tree whose fruits are eaten by birds and animals
ŋmaateɛ,a type of tree
ŋmaazeɛ,a type of monkey
ŋmaa zirii,to lie   
O ŋmaa la zirii ka o baare la a toma., He lied that he had finished the work.
ŋmalaŋmeɛ,a type of bird with thin long legs and a long beak
ŋmamberɛ,a type of small weed with white flowers and medicinal properties
ŋmammo,a type of cake made from millet flour
ŋmampapaa,a type of pigeon with red eyes
ŋmampelaa,wild grey pigeon
ŋmampelaa,neat calabash used for serving water or porridge
ŋmamporezupelaa,a character in Dagaaba folktales which has supernatural power and which it uses to test the ego of other characters
ŋmamporɔ,a red round insect
ŋmandɛre,spider
ŋmane,calabash
ŋmanee,dove
ŋmantummu,unpolished calabash
ŋmantuo,bitter calabash
ŋmanzeɛ,a type of dove with pink plumage
ŋmanzeɛ,calabash used in the preparation of oil
ŋmaŋgbɛre,vine of the calabash plant
ŋmaŋkuŋkummu,calabash seed in a ball form
ŋmaraa,moon
ŋmare,   to break e.g. pot 
ŋmare,  to crush
ŋmare,to change money into smaller units
ŋmarebiri,star
ŋmaroo,change  money 
ŋmee,to crush grains out of fresh heads of millet  usually after roasting 
ŋmeene,to become thin or small
ŋmeene,lean
ŋmeeo,wicked and secret act
ŋmeɛ,to crush
ŋmeɛ,scorched
ŋmeɛlaa,skipping rope
ŋmeɛle,to twist  to wring e.g. hand
ŋmeɛle,to curl out
ŋmeɛle,to pass gas
ŋmeɛle,twisted
ŋmegere,to shrug one’s shoulders
ŋmegere,to swallow with difficulty
ŋmenaa,sun  noon  daytime
ŋmenaa-diibu,lunch
ŋmendaare,Sabbath
ŋmendie,church
ŋmene,god  spirit
ŋmenɛŋmenɛ,firmly and beautifully woven
ŋmentantuo,hot or bright afternoon
ŋmentɔmpɔle,late morning
ŋmentɔŋ,sunshine  daylight
ŋmentɔŋgɔŋ,early afternoon  between  and 
ŋmentɔŋgɔŋ, pm 
ŋmentɔŋkpeɛraa,sunset
ŋmen-yelyelli,to divine  to prophesy
ŋmen-yɛlɛ,work for God
ŋmenzone,blasphemy
ŋmeregɛ,totally
ŋmɛ,   to beat
ŋmɛgelɛŋ,flat e.g. run-over container
ŋmɛgeloo,flattened out e.g. tin run over by a car
ŋmɛgere,to press
ŋmɛleŋmɛle,to writhe in pain
ŋmɛmɛɛ,flat and twisted e.g. nose
ŋmɛnne,   to squeeze with the fingers e.g. breastfeeding 
ŋmɛnne,to press to feel  swollen leg 
ŋmɛŋgɛlɛŋ,flattened out of shape
ŋmobofo,big and ruffled
ŋmolle,to stuff into the mouth  food 
ŋmolɔŋŋmooraa,a type of insect that feeds on yam leaves
ŋmonne,   to make spotted 
ŋmonne,  to beautify
ŋmonɔŋmonɔ,   spotted  
ŋmonɔŋmonɔ, beautiful
ŋmoo,to become scorched  green vegetation 
ŋmoone,   to mutter
ŋmore,to crush 
ŋmore, to rush  to move suddenly and fast
o,he
ogi,to bring out of the mouth
ogi,   to segregate  to discriminate 
ogi,  to dislocate  joint 
ogili,not properly fitted or seated  lid
oii,expression of despair
oli-oli,to be restless
onaŋ,that one  3rd person demonstrative nonhuman 
onɔ,s he
oŋgoloŋ,circular
oo,yes  acceptance 
ooi,yes  response to call 
õo,yes  agreement 
oone,   to clear one’s throat 
oone, to push  giving birth 
oonɛɛ,oonema
oore,to dash up against
oorɛɛ,ooreba
õɔ,a pot with small holes all over  colander
oɔle,to happen gradually e.g. stomach ache
oɔlɛɛ,oɔlba
oɔne,to grip firmly with claws
oɔnɛɛ,oɔnema
ore,   to wash very dirty things e.g. clothes 
ore,  to make one suffer severely e.g. beat
ore,filled to the brim
oree,round and open looking e.g. a hole
orɔba,rubber
ɔge,ground den
ɔgere,   to struggle 
ɔgere,  to vomit  to retch
ɔgrɛɛ,ɔgreba
ɔgere,to get choked e.g. during eating when a child is unable to swallow a morsel of food and strains to bring the food out
ɔlaa,large black fish
ɔlɔ-ɔlɔ,slimy and dirty
ɔlɔ-ɔlɔ,purple
ɔmm,idling
ɔnne,to smoke
ɔnnɛɛ,ɔnema
ɔnsɔɔre,A small brown mouse that usually lives along river valleys.
ɔŋe,  to draw something liquid e.g. water
ɔŋɛɛ,ɔnema
ɔŋe,to smell  bad odour 
ɔŋɛɛ,ɔnema
ɔŋ-eŋ,to flee
ɔŋ-eŋɛɛ,ɔŋ-enemɛ
ɔŋɔ,wild mouse
ɔŋ-ɔɔbo,valuable
ɔŋ-sɔɔre,a type of wild mouse that lives along river banks and has a dark brown colour
ɔɔ,   to chew 
ɔɔ,  to ache  to throb with pain
ɔɔ-doŋɔ,   intestinal worm 
ɔɔ-doŋɔ,   roundworm
ɔɔkpoŋi,winter
ɔɔkyi,goose bumps i.e. small bumps on skin caused by cold
ɔ-ɔlle,moss  usually green matter found in unkempt wet places e.g. bath house 
ɔɔnyukõɔ,a type of small tree whose leaves are edible and have medicinal properties
ɔɔraa,chewer
ɔɔraa-piiri,safe abode
ɔɔre,cold
ɔɔtoorebare,October  month 
ɔraa,a type of climbing plant with edible fruit
ɔɔraa,portable cage  for carrying chicks 
ɔre,to prepare bean leaf broth for soup
ɔre,to throw hard against e.g. ball against a player
ɔre,impotent
ɔre,   to begin to rot  
ɔre,   to stink 
ɔre,  to be useless  person 
ɔregbɔrɔ,messy looking
ɔresɔglaa,a type of climbing plant with edible fruit
ɔrɔsɔ,paying dearly for being obstinate
pa,to set up the beginning of something e.g. weaving
pa,an expression of surprise
pa,to be full
paa,expression of fear and surprise
pãa,then
pãa,what else
paalaa,new
paalaa,   raised dais
paalaa,space in between four mounds
paale,   to fill
paale,  to add
paalonwuluugane,map
paaloŋ,area of jurisdiction  country
paaloŋ,first
paanaa,ground cricket
paane,to blame
paantakyeraa,wild flying cricket
paapaa,pope
pãapere,paper-like spider egg sac
paare,vagina
paare,to scrape e.g. roasted yam
paare,to weed e.g. grass
paare,to pass  a test 
paasepɔɔto,passport
pãatakyeraa,a type of cricket
paate,expression of surprise astonishment e.g. one found in a challenging situation
paawa,power
paawerɛ,powder
pabo,completely
padaa,wood used to make a stage for a corpse
page,to hasten
pagrɛɛ,to compete
pakɔɔloŋ,female pubic hair
pakyoŋ,a large black ant with a painful sting
palampiiri,   butterfly  
palampiiri,  moth
palle,to plait
pamm,straight onto the target
pampana,now
pampuntɛgɛ,the act of being inward looking  concerned with only immediate relation
panana,lit up e.g. car headlight in the dark
panapana,colourful
pane,doorway cover made of straw
paŋe,   to beat down wet rough surface to make it even  local way to plaster  e.g. floor 
paŋe,   fig. walk without any footwear on
paŋe,   to beat mercilessily  
paŋe,  to gather plenty of leaves 
paŋe,  to sew
papeɛmɛ,waist string with cowries
papoɔ,space in between mounds
papoɔ,inner vagina
para,triangular loincloth
para,to walk quickly
parapara,hurried manner
parata,white and spotless
pare,buttocks
pare,meaning
pare,to understand
pare,raised tomb
pare,   to place on top  
pare,   to overtake
pare,   more than  
pare,   over
pare-araa,the act of having time
parebaaraa,last one
parebiri,anus
parebogi,anus
parefẽɛ,in vain
parefuri,act of dragging one’s feet e.g. cowardice
parekolee,piglet
parekonɛne,pork
parekyara,The part in between the legs e.g. when in astride position
parema,extra
parenyɔge,courage
parepẽɛ,act of struggling it out with another
parepĩi,the end of the anus
parepoɔroŋ,a type of wild mouse that reproduces prolifically
parepũo,fear
paresɛgere,buttock
paresunsugiri,the knob-like appendage attached to the area above the anus of birds
paretaa,game
paretɛleŋ,at once
parɛɛ,species  kind
parikonyaŋaa,sow  pig 
pataase,type of local spirit  alcoholic drink 
pazɔŋɔ,blood-sucking fly
pe,to be fed up with
pedaa,ram
peda-eelɛ,male sheep with horns
pedavaraa,castrated ram
pee,open and large
pẽ,weighty object smashing a smaller object  onomatopoeia 
pẽe,unrelenting
peelaa,infant
peele,to tear into shreds e.g. rag
pẽepẽe,very sharp  taste
peere,   to sweep
peeteree,everything about something
peɛ,roof
peɛ,basket
peɛ,   to drink  taking in large gulps  
peɛ,  to take a wife or house maid from her parents
pẽɛ,completely e.g. finished
pẽɛ,pull apart in a bid to open e.g. pulling the eyelid s  apart
pẽɛ,   to decorate well 
pẽɛ,  to dress gorgeously
pẽɛ,to court  Southern Dagaare dialect 
peɛle,to be near  to be close to
peɛle-peɛle,having white spots
peɛloŋ,   whiteness 
peɛloŋ,  food
peɛmɛ,   decorations 
peɛmɛ, beautiful clothing
peɛmo,   courtship  
peɛmo,  sexual intercourse
pẽɛo,a type of wild cat  dark spotted 
peɛre,to investigate
peɛre,to not be fussy about choices  typically used with negative marker ba 
peɛre,to line up  to place side by side
peɛre,to tap  to call attention 
peɛrɛ,a type of small
pa,to set up the beginning of something e.g. weaving
pa,an expression of surprise
pa,to be full
paa,expression of fear and surprise
pãa,then
pãa,what else   Libie kyebe N pãa la e wolɔ? There is no money
paalaa,new
paalaa,   raised dais
paalaa,space in between four mounds
paale,   to fill  
paale,   to add
paalonwuluugane,map
paaloŋ,area of jurisdiction  country
paaloŋ,first
paanaa,ground cricket
paane,to blame
paantakyeraa,wild flying cricket
paapaa,pope
pãapere,paper-like spider egg sac
paare,vagina
paare,to scrape e.g. roasted yam
paare,to weed e.g. grass
paare,to pass  a test 
paasepɔɔto,passport
peraa,   deliberateness  
peraa, obstinacy
peraa,hyperbole  literature 
peraa,castanet  a pair of metal rings worn on the fingers and clicked together rhythmically
pere,push away  usually a small object with the foot
pere,a loop used in making the rim of a basket
pere,   remove from  shell  groundnuts 
pere,push away  small object 
pere,sheep
perebare,outer toe of a fowl
perekara,astride
perekatɔɔre,cemetery
perepere,to struggle e.g. insect on a hot object
perete,spotlessly white
perɛperɛ,not stuck together e.g. well-cooked rice
periperi,to make an effort to overcome
peroo,sheep
pesaraa,young adult female sheep
petooŋmaa,one who will not listen to anything
pezage,sheep pen
pɛ,to squeeze out e.g. milk
pɛ,to open one’s eyes widely
pɛ,to spiritually deprive another of prowess
pɛ,to harvest nuts from the ground
pɛ,same
pɛ̃ɛ,fatty  oily
pɛɛre,immature
pɛɛtɛɛre,small
pɛge,to wash e.g. clothes
pɛge,hard external covering of seeds
pɛgele,to carry on one’s side
pɛge yi,clean
pɛgɛkɛ,deep and wide
pɛglɛŋ,small and flat
pɛkogo,sticks put under a basket as a protective base
pɛkpoŋ,large basket
pɛlaa,a type of tree with medicinal properties
pɛle,to be white
pɛle,to open up  be happy
pɛle,to peel  yam  
pɛle, to clear grass by weeding with a hoe
pɛmpɛlɛŋ,flat metal  cover of a tin 
pɛmpɛnɛɛ,wild gum  rubber
pɛmpɛre,oblique position  bending very low 
pɛmpɛre,to bend very low and in an oblique position
pɛnaa,musical instrument made from seasoned straw
pɛnne,to carve
pɛnne,to rest
pɛnne,lower part of abdomen
pɛnne,cloth
pɛnnoŋ,air
pɛnnu,hand measure  about 9 inches  of woven strip of cloth
pɛnzage,rag
pɛŋe,to groan
pɛŋe, to grunt  from effort 
pɛŋe,to borrow 
pɛŋe, to lend
pɛŋe,to tap on water to clear the top of unwanted material
pɛŋkɔɔloŋ,pubic hair
pɛpɛlaa,a type of small
pɛre,to stand abreast
pɛre,to bend in an oblique manner
pɛrɛpɛrɛ,food made of mashed yam
pɛrɛpɛrɛ,completely
pɛteɛ,medium-sized basket
pɛyagelaa,a basket
pi,to become bloated
pi,to reserve
pi,to be in fear  to clutch self tightly in fear
pibɔŋɔ,a type of lizard believed to be poisonous
pie,ten
pie ane anaare,fourteen
pie ane anii,eighteen
pie ane anuu,fifteen
pie ane ata,thirteen
pie ane ayi,twelve
pie ane ayoɔbo,sixteen
pie ane ayɔpõi,seventeen
pie ane yeni,eleven
pie ne awae,nineteen
pieri,   to cause the skin to peel e.g. as a result of scrapes on rough surfaces  
pieri, to cause to be bare  bush 
pieto,loincloth
pigepige,moving around craftily
pigi,   to obstruct  view   
pigi,  to shield
pigi,to make a ball e.g. from mud
pigiri,to look out for
pĩi,arrow
pĩi biri,arrowhead
pĩikaraa,sharpened arrow
piili,to begin  to start
pĩi-mɔre,arrow shaft
piiri,to massage with warm water e.g. on bruises
piiri,rock
piiri,to recover a lost object by chance
piirimpĩi,a type of lizard
pĩi-sabɔle,a type of square-shaped arrow without spikes
pĩi-sabɔle,finless arrow
pĩiseɛbaa,large
pĩi-takɔraa,a type of arrow with spikes on the sides
pĩiteɛraa,an arrow that is shot out  arrow for shooting
pĩizɛle,poisoned arrow
pikuuri,large piece of rock
pileesekɔɔ,a type of bird
pilempileŋ,gusty
pilepile,in a fast manner
pili,a type of mat made of tiny straw and thread used to sleep on
pilintoɔ,bottle
pilipili,to cover up or confuse by clever actions
pilli,to roll up  mat 
pilli,to cover  with a cloth  
pilli,  cover the top of a building
pilli,to roll the tip of a feather in the ear to scratch it
pilli pɔge,to overwhelm with a swarm  bee attack 
pimbiri,   nail 
pimbiri,  arrowhead  
pimbiri,  syringe
pimbitaaraa,screw
pimpiŋ,far away
pimpiŋ,to attempt to confuse
pinni,   to tap on to empty e.g. pocket  
pinni, to shake e.g. to remove unwanted bodies  bugs from a mat   
pinni,  to perform the final threshing to remove bits of grain
pinni,to remind
piŋgaraa,pickaxe
piŋi,   to shake to remove e.g. dust from cloth 
piŋi, to beat mercilessly  figurative 
piŋi,to hide or take cover behind an object
pipiiri,a type of tiny black flying insect that moves in groups
pipiree,   chaff 
pipiree,   residue of the matter left after chewing and extracting the liquid from some nuts like coconut
piraa,button
pire,new land cleared for farming
pirempireŋ,full  tyre
pirepire,the state of complete emptiness  the state of having nothing
piri,   to compete to win e.g. vacant seat 
piri,  to speak at the same time  two or more people 
piri,to lance
piri,   to button up e.g. shirt  
piri, to strap on e.g. wristwatch  
piri, to put a noose on or off e.g. neck or leg of an animal
piriyoro,completely scattered in different directions e.g. members of a search party
po,to pull a grass stalk off the base
po,to dig for termites  to feed young chicks 
po,to ooze
pobeɛmɛ,stomachache
pobieri,wickedness
poboɔbo,will
pobu,filled with  tears in the eyes 
podẽo,preference
podɛgere,evil thought
pofaa,state of being evilminded
pogaale,prenatal care
pogitogo,very short and small
pokuoŋaa,sharp stomachache without diarrhoea
pokpaane,fasting
pokpegiri,closedheartedness
pokpɛlɛnkyɛ,the act of being potentially dangerous
pokpɔgere,tumor in the stomach
pokyiiri,confession
polee,small farm
polee,early pregnancy
poleɛne,female lizard
polepole,very tall and pointed summit  church tower 
poli,smear plenty of oil producing a shining effect
poli,flaring up abruptly  fire 
polige,the state of not being open-minded
poll,small and sharp
polle,   to sharpen  a point  
polle, to take an oath  
polle, to make a promise
pololo,pointed and sharp
pomm,bloated like a balloon
pompoluoree,a type of wild tree with edible fruit
pompoŋɔ,a type of poisonous green-trunked tree with white nectar
ponaŋa,severe stomachache
ponne,   to drop in bits e.g. rain 
ponne,   to test tightness e.g. string of bow
ponne,to covet  to make advances to mate with e.g. animals
ponne,not up to standard
poŋi,pollen
poŋi,   to shave  hair  
poŋi,  to remove corn from the cob
poŋi,to share
poo,sound made when one wades into water  onomatopoeia 
po-o,ocean
poomɔ,bean weevil
poone,to persist e.g. talk
poore,challenge
poore,to challenge
poore,to spray e.g. water onto someone
poore,to harvest grass stalks
poɔ,stomach
poɔ,part  of a group 
poɔ,pregnancy
poɔ,to beat down on by rain
poɔ,to add to  to include
põɔ,   to interrupt
põɔ,  to perform a task earlier than expected
põɔ,to rot
põɔ,to play a game of hide and seek
